id	link	headline	p1	pub_date	text_date
11	http://www.breitbart.com/texas/2017/09/18/illegal-immigrant-charged-attempting-burn-off-sons-lips-hot-spoon/?utm_source=facebook&utm_medium=social	Illegal Immigrant Charged with Attempting to Burn Off Her Sonâ€™s Lips with Hot Spoon	An illegal immigrant remains behind bars in an Alabama jail after a local FOX affiliate station inquired about her near release on bond. The woman is accused of heating up a spoon on her stove and burning her sonâ€™s lips for a disciplinary matter.	2017-09-18	2017-09-18
12	http://www.breitbart.com/big-government/2017/09/18/liberals-slam-democrat-dan-helmers-cringeworthy-campaign-ad/?utm_source=facebook&utm_medium=social	WATCH: Democratic Candidate Dan Helmer Releases Yearâ€™s Most Awkward, Cringeworthy Campaign Ad	Democrat Dan Helmer is running for Congress in Virginiaâ€™s 10th Congressional District, but if his first TV ad is any indication he will not be winning any karaoke awards or picking up many new voters. Even liberals are left cringing after a viewing.	2017-09-18	2017-09-18
13	http://www.breitbart.com/big-government/2017/09/18/st-louis-police-reportedly-chanted-whose-streets-streets-arresting-protesters/	St. Louis Police Reportedly Chanted, â€˜Whose Streets, Our Streets,â€™ After Arresting Protesters	Police officers in St. Louis reportedly chanted, â€œWhose streets, our streets,â€ after arresting protesters early Monday morning, according to a video and several accounts from journalists on the ground.	2017-09-18	2017-09-18
14	http://www.breitbart.com/big-government/2017/09/18/james-comey-tried-to-discredit-trumps-wiretapping-assertions-that-proved-true/	James Comey Tried to Discredit Trumpâ€™s Wiretapping Assertions That Proved True	The FBI had wiretapped President Trumpâ€™s campaign chairman Paul Manafort before and after the election, contrary to what former FBI Director James Comey suggested earlier this year.	2017-09-18	2017-09-18
15	http://www.breitbart.com/big-government/2017/09/17/guardian-cohn-tillerson-mcmaster-open-staying-paris-accord/?utm_source=facebook&utm_medium=social	Guardian: Cohn, Tillerson, McMaster â€˜Open to Staying in Paris Accordâ€™	After President Trump sent shivers down the spines of his supporters this week by showing his willingness to cut a deal with Democrat leadership to allow Obamaâ€™s DACA policies to remain in place, he now appears to be backtracking on an another campaign promise to withdraw the United States from the Paris Climate accord.Â 	2017-09-17	2017-09-17
16	http://www.breitbart.com/video/2017/09/18/sean-hannity-tells-bill-oreilly-come-back-fox-news/	Sean Hannity Tells Bill Oâ€™Reilly â€˜You Should Come Backâ€™ to Fox News	Monday on his nationally syndicated radio show, Sean Hannity interviewed his former Fox News Channel colleague Bill Oâ€™Reilly in appearance to promote Oâ€™Reilly latest book, â€œKilling England.â€	2017-09-18	2017-09-18
17	http://www.breitbart.com/big-government/2017/09/16/washington-post-steve-bannon-waging-war-against-gop-establishment-with-economic-nationalist-primary-challengers/?utm_source=facebook&utm_medium=social	Washington Post: Steve Bannon Waging War Against GOP Establishment with Economic Nationalist Primary Challengers	The Washington Postâ€™s Greg Sargent writes that former White House chief strategist and current Breitbart Executive Chairman Steve Bannon is â€œis planning to escalate his war with the GOP establishment, by promoting primary challengers who will run against GOP incumbents on a platform that is fully faithfulâ€ to the populist and economic nationalist issues that got President Trump elected in 2016.	2017-09-16	2017-09-16
18	http://www.breitbart.com/big-government/2017/09/18/gop-establishments-steve-schmidt-calls-breitbart-news-put-business/?utm_source=facebook&utm_medium=social	GOP Establishmentâ€™s Steve Schmidt Calls for â€˜Breitbart Newsâ€™ to Be â€˜Put Out of Businessâ€™	MSNBC â€˜s Steve Schmidt, the GOP ace who ran the 2008 McCain campaign, the Einstein unable to defeat the most leftwing senator in America â€” a Chicago machine politician guilty of palling around with domestic terrorists and worshiping for 20 years in a racist church â€” now wants to reward millions of illegal aliens with amnesty and put Americans out of work â€” specifically those of us who work for Breitbart News.	2017-09-18	2017-09-18
19	http://www.breitbart.com/big-government/2017/09/18/trump-vindicated-report-says-obama-government-wiretapped-trump-campaign/	Trump Vindicated: Report Says Obama Government Wiretapped Trump Campaign	U.S. investigators wiretapped President Trumpâ€™s campaign chairman Paul Manafort, according to a report by CNN that vindicates the presidentâ€™s earlier claims, which were mocked as a conspiracy theory.	2017-09-18	2017-09-18
20	http://www.breitbart.com/big-journalism/2017/09/18/wiretapped-cnn-admits-trump-campaign-breitbart-news-right-mainstream-media-wrong/	CNN Admits Trump Campaign Was Wiretapped: Breitbart News and Mark Levin Right, Mainstream Media Wrong	CNN reported Monday evening that the U.S. government, under President Barack Obama, had wiretapped Donald Trumpâ€™s former campaign manager, Paul Manafort â€” both duringÂ after the 2016 presidential campaign.	2017-09-18	2017-09-18
21	http://www.breitbart.com/tech/2017/09/18/half-of-millennials-would-give-up-voting-rights-to-pay-off-student-debt/?utm_source=facebook&utm_medium=social	Survey: Half of Millennials Would Give Up Voting Rights to Pay Off Student Debt	Fifty percent of millennials claim that they would give up their right to vote if it meant wiping away their student debts, according to a new survey.	2017-09-18	2017-09-18
22	http://www.breitbart.com/tech/2017/09/18/report-robert-mueller-obtains-russian-facebook-ads-from-election/?utm_source=facebook&utm_medium=social	Report: Robert Mueller Obtains Russian Facebook Ads from Election	FBI Special Counsel Robert Mueller is reportedly â€œnow in possession of Russian-linked ads run on Facebook during the presidential election,â€ which he obtained with a search warrant.	2017-09-18	2017-09-18
23	http://www.breitbart.com/big-journalism/2017/09/18/former-nyt-reporter-white-house-sent-wrong-signal-having-11-year-old-frank-giaccio-mow/?utm_source=facebook&utm_medium=social	Former NYT Reporter: White House Sent Wrong â€˜Signalâ€™ by Having 11-Year-Old Frank Giaccio Mow Lawn	A former New York Times reporter who covered labor issues received an onslaught of criticism on social media for a tweet he wrote saying the White House is sending the wrong message concerning child labor.	2017-09-18	2017-09-18
24	http://www.breitbart.com/big-government/2017/09/18/food-stamp-usage-has-fallen-every-month-of-trump-presidency/	Food Stamp Usage Has Fallen Every Month of Trump Presidency	Food stamp usage has declined every month since President Trump took office in January, according to the latestÂ U.S. Department of Agriculture (USDA)Â statisticsÂ on food stamp enrollment.	2017-09-18	2017-09-18
25	http://www.breitbart.com/video/2017/09/18/hillary-clinton-wont-rule-challenging-legitimacy-2016-election/	Hillary Clinton Wonâ€™t Rule Out Challenging Legitimacy of 2016 Election	Monday on NPRâ€™s â€œFresh Air,â€ 2016Â Democratic presidential nomineeÂ Hillary Clinton said she would not â€œrule outâ€ challenging the legitimacy of the 2016 presidential election, although she said she wasnâ€™t sure if there was a â€œlegal, constitutional way to do that.â€	2017-09-18	2017-09-18
26	http://www.breitbart.com/big-government/2017/09/18/man-charged-raping-teen-taking-planned-parenthood-abortion/?utm_source=facebook&utm_medium=social	Man Charged with Raping Teen, Taking Her to Planned Parenthood for Abortion	A Utah man has been charged with 12 counts of alleged rape of a teen he took to Planned Parenthood for an abortion in order to conceal his actions, court documents say.	2017-09-18	2017-09-18
27	http://www.breitbart.com/sports/2017/09/18/running-tv-camera-man-smashes-chiefs-cheerleader-ground/?utm_source=facebook&utm_medium=social	Running TV Camera Man Smashes Chiefs Cheerleader to the Ground	NFL reporting often focuses on those massive hits taken on the field, but they rarely concern hits taken by cheerleaders. That all changed during the Chief-Eagles game on Sunday when a Chiefs cheerleader took a major hit near the Chiefsâ€™ end zone.	2017-09-18	2017-09-18
28	http://www.breitbart.com/big-hollywood/2017/09/18/chelsea-handler-calls-ben-carson-stacey-dash-black-white-supremacists-video/?utm_source=facebook&utm_medium=social	Chelsea Handler Calls Ben Carson, Stacey Dash â€˜Black White Supremacistsâ€™ (Video)	Chelsea Handler attackedÂ Secretary of Housing and Urban Development Ben Carson and other conservative blacks during Fridayâ€™s episode of her Netflix show, putting them in â€œthe most confusing group of racists.â€	2017-09-18	2017-09-18
29	http://www.breitbart.com/tech/2017/09/18/university-president-apologizes-for-cotton-stalk-centerpieces-at-dinner-for-black-students/?utm_source=facebook&utm_medium=social	University President Apologizes for Cotton Stalk Centerpieces at Dinner for Black Students	The President of Lipscomb University in Nashville, Tennessee, has come under fire for centerpieces featuring cotton displayed during a dinner specifically for African-American students.	2017-09-18	2017-09-18
30	http://www.breitbart.com/big-government/2017/09/18/missouri-governor-warns-st-louis-protesters-safe-space-looters-jail-cell/?utm_source=facebook&utm_medium=social	Missouri Governor Warns St. Louis Protesters: Only â€˜Safe Spaceâ€™ for Looters Is â€˜in a Jail Cellâ€™	Missouri Gov. Eric Greitens warned demonstrators in St. Louis, Missouri, that looting and violence would not be tolerated as violent protesters continue to wreak havoc in the city.	2017-09-18	2017-09-18
31	http://www.breitbart.com/video/2017/09/18/jennifer-palmieri-trumps-golf-gif-promoting-violence-women/?utm_source=facebook&utm_medium=social	Jennifer Palmieri: Trumpâ€™s Golf Gif Is â€˜Promoting Violence Against Womenâ€™	Monday on MSNBC, former Hillary Clintonâ€™s 2016 presidential campaign director of communications Jennifer Palmieri said President Donald Trumpâ€™s retweet of an animated gif that shows him knocking down Hillary Clinton with a golf ball was â€œpromoting violence against women.â€	2017-09-18	2017-09-18
32	http://www.breitbart.com/big-journalism/2017/09/18/conservative-co-host-jedediah-bila-exits-view/?utm_source=facebook&utm_medium=social	Conservative Co-Host Jedediah Bila Exits â€˜The Viewâ€™	Jedediah BilaÂ announced Monday morning that it would be her last day as co-host of The View.	2017-09-18	2017-09-18
33	http://www.breitbart.com/london/2017/09/17/nigel-farage-arm-police-fight-terrorism/?utm_source=facebook&utm_medium=social	Farage: â€˜Arm Police to Fight Terrorismâ€™, â€˜Government Not Doing Enoughâ€™	British police should be armed to respond to terrorism, and decades of government immigration and integration policies have â€˜totally failedâ€™, Nigel Farage told LBC listeners.	2017-09-17	2017-09-17
34	http://www.breitbart.com/video/2017/09/18/immigration-protesters-force-pelosi-end-presser-chanting-liar/	Immigration Protesters Force Pelosi to End Presser by Chanting â€˜You Are a Liarâ€™	Monday in San Francisco, House Minority Leader Nancy Pelosi (D-CA) was forced to leave herÂ DREAMer press conference after being shouted down by protesters who said they are undocumented and unafraid.	2017-09-18	2017-09-18
35	http://www.breitbart.com/video/2017/09/17/mcmaster-bannon-leaving-wh-advancing-agendas/?utm_source=facebook&utm_medium=social	McMaster on Bannon Leaving WH: â€˜There Were Someâ€™ Advancing Their Own Agendas	On this weekendâ€™s broadcast of â€œFox News Sunday,â€ host Chris Wallace asked National Security Adviser H.R. McMaster if the administration is better off without Steve Bannon.	2017-09-17	2017-09-17
36	http://www.breitbart.com/big-government/2017/09/17/police-man-kicks-wrong-door-dies-gunshot-wound/?utm_source=facebook&utm_medium=social	Police: Intruder Kicks in Wrong Door, Dies from Gunshot Wound	Indianapolis police say 34-year-old Percy Walker kicked in the wrong door and was shot and killed by a father protecting two young children.	2017-09-17	2017-09-17
37	http://www.breitbart.com/california/2017/09/18/illegal-aliens-crash-nancy-pelosis-daca-press-conference/	Illegal Aliens Crash Nancy Pelosiâ€™s DACA Press Conference: â€˜All of Us or None of Us!â€™	A group of illegal aliens calling themselves the â€œImmigration Liberation Movementâ€ crashed a press conference by House Minority Leader Nancy Pelosi (D-CA) on Monday, warning the Democratic Party not to â€œsell [us] out.â€	2017-09-18	2017-09-18
38	http://www.breitbart.com/radio/2017/09/18/rep-steve-king-if-the-push-for-daca-happens-quickly-it-could-be-unstoppable/?utm_source=facebook&utm_medium=social	Rep. Steve King: If the Push for DACA Happens Quickly It Could Be Unstoppable	Rep. Steve King (R-IA) joined Breitbart News Sunday SiriusXM hosts Rebecca Mansour and Joel Pollack to discuss President Trumpâ€™s apparent shift away from his biggest campaignÂ promise to end the Deferred Action for Childhood Arrivals (DACA) program.	2017-09-18	2017-09-18
39	http://www.breitbart.com/big-government/2017/09/18/lobbyists-flock-to-support-former-colleague-luther-strange-in-alabama-u-s-senate-runoff-election/?utm_source=facebook&utm_medium=social	Lobbyists Flock to Support Former Colleague Luther Strange in Alabama U.S. Senate Runoff Election	Special interest lobbyists are flocking to support their former colleague and establishment favorite Senator Luther Strange (R-AL) in the September 26 Alabama U.S. Senate Republican primary runoff election contest against conservative champion Judge Roy Moore.	2017-09-18	2017-09-18
40	http://www.breitbart.com/radio/2017/09/18/coulter-trump-campaigned-america-first-goldman-sachs-rubio-staffers-running-everything-white-house/	Ann Coulter: Trump Campaigned on America First, but â€˜Suddenly Goldman Sachs and Rubio Staffers Are Running Everythingâ€™ in the White House	Ann Coulter, author of Adios, America, joined SiriusXM hosts Rebecca Mansour and Joel Pollak on Breitbart News Sunday to talk about President Trumpâ€™s apparent retreat from the positions he took on illegal immigration and border security during his campaign.	2017-09-18	2017-09-18
41	http://www.breitbart.com/big-government/2017/09/18/nolte-gop-works-tirelessly-help-illegal-aliens-obamacare-premiums-spike-15/?utm_source=facebook&utm_medium=social	Nolte: GOP Works Tirelessly to Help Illegal Aliens as Obamacare Premiums Spike 15 Percent	In early 2010, after a bunch of procedural gimmicks, a rigged Congressional Budget Office report, and Barryâ€™s Lie of the Year allowed Obamacare to become law, the Republican Party went on a righteous repeal crusade.	2017-09-18	2017-09-18
42	http://www.breitbart.com/video/2017/09/18/behar-spicer-apologize-lies-can-laugh/?utm_source=facebook&utm_medium=social	Behar: Spicer Has to Apologize for His Lies Before We Can Laugh With Him	Monday on ABCâ€™s â€œThe View,â€ co-host Joy Behar said former White House press secretary Sean Spicerâ€™s appearance at Sundayâ€™s Emmy Awards presentation was inappropriate because he has to apologize for his lies.	2017-09-18	2017-09-18
43	http://www.breitbart.com/california/2017/09/18/mass-shooters-the-common-thread-for-mass-public-attackers-hint-its-not-gun-type-or-religion/?utm_source=facebook&utm_medium=social	What Do Mass Shooters Have in Common? (Hint: Itâ€™s Not Gun Type or Religion)	A common thread for mass public attackers is not religion, or the type of gun used, but anti-social behavior.	2017-09-18	2017-09-18
45	http://www.breitbart.com/london/2017/09/18/parsons-green-bomber-named-21-year-old-syrian-yahyah-farouk/?utm_source=facebook&utm_medium=social	Parsons Green Bomb Suspect Named as 21-Year-Old Syrian Yahyah Farouk	The second of two men arrested in connection with Friday morningâ€™s Parsons Green London tube network attack has been named asÂ 21-Year-Old Syrian migrant Yahyah Farouk.	2017-09-18	2017-09-18
46	http://www.breitbart.com/big-hollywood/2017/09/18/trump-hating-emmys-collapse-time-low/?utm_source=facebook&utm_medium=social	Total Irrelevance: Trump-Hating Emmys Hit All-Time Ratings Low	Adjustments might take a little of the sting out of the news that Sunday nightâ€™s Emmy telecast was a ratings catastrophe, but any adjustment will only make the nightmare a little less nightmarish. Instead of being the lowest-watched Emmys in its 69-year history, Sunday nightâ€™s telecast might be able to squeak into the second-lowest.	2017-09-18	2017-09-18
47	http://www.breitbart.com/big-hollywood/2017/09/18/emmys-dolly-parton-lily-tomlin-jane-fonda-draw-cheers-calling-trump-hypocritical-bigot/?utm_source=facebook&utm_medium=social	Emmys: Dolly Parton, Lily Tomlin, Jane Fonda Draw Cheers for Calling Trump â€˜Hypocritical Bigotâ€™	LOS ANGELES (AP) â€” The first standing ovation of the 69th annual Emmy Awards went not to a winner but to a trio of presenters â€” Dolly Parton, Jane Fonda and Lily Tomlin. The audience erupted in sustained cheers of adulation as the three actresses strolled on stage Sunday to the theme music of their 1980 hit movie â€œ9 to 5.â€	2017-09-18	2017-09-18
48	http://www.breitbart.com/big-government/2017/09/18/russia-incompetent-white-house-lawyers-discuss-probe-public/?utm_source=facebook&utm_medium=social	Incompetent White House Lawyers Discuss Russia Probe in Public	TheÂ New York Times scored a scoop after reporter Ken Vogel overheard two senior White House lawyers, Ty Cobb and John Dowd, discussing details of the Russia investigation over lunch at a popular Washington, DC, restaurant.	2017-09-18	2017-09-18
49	http://www.breitbart.com/big-government/2017/09/16/former-koch-exec-now-white-house-staffer-marc-short-we-need-a-conversation-about-definition-of-a-wall/?utm_source=facebook&utm_medium=social	Former Koch Exec, Now White House Staffer, Marc Short: We Need a â€˜Conversationâ€™ About â€˜Definition of a Wallâ€™	During a segment on CNN, the former Koch brothers executive turned White House staffer Marc Short said that Americans needed to â€œhave a serious conversationâ€ about â€œwhat the definition of a wall is,â€ in regards to the U.S.-Mexico border wall that President Trump promised to build.	2017-09-16	2017-09-16
50	http://www.breitbart.com/video/2017/09/17/durbin-dems-understanding-trumps-daca-deal-includes-citizenship/?utm_source=facebook&utm_medium=social	Durbin: Dems Have â€˜Understandingâ€™ Trumpâ€™s DACA Deal â€˜Includes Citizenshipâ€™	On this weekendâ€™s broadcast of â€œFox News Sunday,â€ Sen. Dick Durbin (D-IL) said that last week in a meeting between President Donald Trump, House Minority Leader Nancy Pelosi (D-CA) and Senate Minority Leader Charles Schumer (D-NY), a â€œbasic understandingâ€ on the Deferred Action for Childhood Arrivals (DACA) program was reached.	2017-09-17	2017-09-17
51	http://www.breitbart.com/big-hollywood/2017/09/17/emmys-snls-kate-mckinnon-thanks-hillary-clinton-for-second-year-running-praises-her-grace-and-grit/?utm_source=facebook&utm_medium=social	Emmys: SNLâ€™s Kate McKinnon Thanks Hillary Clinton for â€˜Grace and Gritâ€™ During Acceptance Speech	Actress andÂ Saturday Night LiveÂ starÂ Kate McKinnon thanked failed presidential candidate Hillary Clinton in her Emmys acceptance speech for the second year running, praising her for the â€œgrace and gritâ€ she showed as she was defeated by Donald Trump.	2017-09-17	2017-09-17
52	http://www.breitbart.com/big-government/2017/09/16/mo-brooks-endorses-roy-moore-al-sen-race-america-watching-alabama/?utm_source=facebook&utm_medium=social	Mo Brooks Endorses Roy Moore in AL Sen Race â€” â€˜All of America Is Watching Alabamaâ€™	Saturday at a campaign event in Huntsville, AL, Rep. Mo Brooks (R-AL) endorsed former Alabama Supreme Court ChiefÂ Justice Roy Moore in his bid for U.S. Senate.	2017-09-16	2017-09-16
53	http://www.breitbart.com/video/2017/09/17/msnbc-guest-on-jemele-hill-controversy-the-white-house-is-saying-its-okay-to-not-hire-black-people/?utm_source=facebook&utm_medium=social	MSNBC Guest on Jemele Hill Controversy: The White House Is Saying Itâ€™s Okay to Not Hire Black People	During Sundayâ€™s â€œPoliticsNation,â€ ESPN â€œThe Undefeatedâ€ writer William Rhoden weighed in on the controversy surrounding ESPN anchor Jemele Hill.	2017-09-17	2017-09-17
54	http://www.breitbart.com/video/2017/09/17/nyts-chozick-hillary-thought-it-was-our-job-to-get-her-elected/?utm_source=facebook&utm_medium=social	NYTâ€™s Chozick: Hillary Thought â€˜It Was Our Jobâ€™ to Get Her Elected	Sunday on CNNâ€™s â€œReliable Sources,â€ New York Times reporter Amy Chozick said Hillary Clinton made it sound in her new book, â€œWhat Happened,â€ like she thought it was the mediaâ€™s job to get her elected.	2017-09-17	2017-09-17
55	http://www.breitbart.com/big-government/2017/09/17/large-pool-blood-leaks-road-louisiana-funeral-home/?utm_source=facebook&utm_medium=social	Large Pool of Blood Leaks onto Road from Louisiana Funeral Home	A mixture of blood and embalming fluid leaked from a storage tank at a Louisiana funeral home Thursday onto a street.	2017-09-17	2017-09-17
56	http://www.breitbart.com/big-government/2017/09/17/delingpole-urgent-memo-to-donald-trump-the-biggest-threat-to-the-environment-are-environmentalists/?utm_source=facebook&utm_medium=social	Delingpole: Urgent Memo to Donald Trumpâ€”Biggest Threat to the Environment Are Environmentalists	Did you hear the scary rumor at the weekend that President Trump was about to renege on his promise to quit the UN Paris Climate Agreement?	2017-09-17	2017-09-17
57	http://www.breitbart.com/big-government/2017/09/17/kellogg-foundation-delivers-a-shocking-dose-of-leftism-with-your-cereal/?utm_source=facebook&utm_medium=social	Report: Kellogg Foundation Delivers a Dose of Leftism with Your Cereal	A new report reveals the shocking amount of money donated by the W.K. Kellogg Foundation to left-wing, pro-socialist organizations in coordination with the Clintons and anti-American billionaire George Soros.	2017-09-17	2017-09-17
58	http://www.breitbart.com/texas/2017/09/17/illegal-alien-nba-hopeful-charged-sexual-assault-denied-bond/?utm_source=facebook&utm_medium=social	Illegal Alien NBA Hopeful Charged with Sexual Assault Denied Bond	Texas Prairie View A&amp;M University basketball star, Yusuf Yakubu, remains in jail after a judge denied bail in his sexual assault caseÂ on Friday. During his bond hearing, the NBA hopeful admitted under oath that he is a citizen of Nigeria but indicated he was a U.S. citizen on his college admission paperwork.	2017-09-17	2017-09-17
60	http://www.breitbart.com/big-hollywood/2017/09/16/jay-z-dedicates-song-colin-kaepernick-nyc-concert/?utm_source=facebook&utm_medium=social	Jay-Z Dedicates Song to Colin Kaepernick at NYC Concert	NEW YORK (AP) â€” Jay-Z performed his first headlining concert in three years in his hometown of New York City on Friday, a show that featured his popular hits and a dedication to outspoken NFL player Colin Kaepernick.	2017-09-16	2017-09-16
61	http://www.breitbart.com/texas/2017/09/16/woman-finds-naked-boyfriend-pre-teen-daughter-stabs-6-times-say-police/?utm_source=facebook&utm_medium=social	Woman Stabs Boyfriend 6 Times After Finding Him Naked on Her 12-Year-Old	Police officers in Cleveland, Ohio, say a woman stabbed her boyfriend six times after she found him naked on top of her 12-year-old daughter.	2017-09-16	2017-09-16
62	http://www.breitbart.com/big-hollywood/2017/09/17/emmys-knives-out-for-trump-as-stephen-colbert-attacks-potus-in-opening-monologue/	Emmys: Knives Out for Trump as Stephen Colbert Attacks POTUS in Opening Monologue (Video)	Stephen Colbert wasted no time in attacking President Trump in his opening monologue at the 69th Emmy Awards show this year.	2017-09-17	2017-09-17
63	http://www.breitbart.com/big-government/2017/09/17/bannon-to-charlie-rose-primary-challenges-will-rejuvenate-gop/?utm_source=facebook&utm_medium=social	Bannon to Charlie Rose: Primary Challenges Will â€˜Rejuvenateâ€™ GOP	Former White House Chief Strategist Steve Bannon believes economic nationalist candidates who challenge GOP establishment incumbents will â€œrejuvenateâ€ the Republican Party.	2017-09-17	2017-09-17
64	http://www.breitbart.com/big-hollywood/2017/09/17/emmys-sean-spicer-joins-broadcast-gets-mocked/	Emmys: Sean Spicer Joins Broadcast, Gets Mocked (Video)	Former White House press secretary Sean Spicer made a cameo appearance at theÂ 69th annual Primetime Emmy Awards on Sunday,Â imitating himself over comments he made in the first week of the Trump administration.	2017-09-17	2017-09-17
65	http://www.breitbart.com/big-government/2017/09/17/house-passes-bill-deport-suspected-ms-13-gang-members/?utm_source=facebook&utm_medium=social	House Passes Bill to Deport Suspected MS-13 Gang Members	WASHINGTONâ€”House lawmakers passed legislation Thursday that would make suspected membership in the violent MS-13 street gang a sufficient cause for deportation.	2017-09-17	2017-09-17
66	http://www.breitbart.com/big-government/2017/09/17/rep-maxine-waters-melania-cant-trust-trump/	Rep. Maxine Waters: â€˜Melania Canâ€™t Trust Trumpâ€™	Rep. Maxine Watersâ€™ (D-CA) attacks on President Trump turned personal after she tweeted Friday that First Lady Melania Trump is among those who cannot trust the president.	2017-09-17	2017-09-17
67	http://www.breitbart.com/big-hollywood/2017/09/17/stars-wear-ribbons-aclu-trump/?utm_source=facebook&utm_medium=social	Emmys: Stars Wear Blue Ribbons on Red Carpet to Support ACLU Fight Against Trump	A number of celebrities attending the 69th annual Primetime Emmy Awards wore ribbons to express support for the American Civil Liberties Union (ACLU), which has fought vigorously againstÂ President Donald Trumpâ€™s immigration agenda.	2017-09-17	2017-09-17
68	http://www.breitbart.com/video/2017/09/17/kellyanne-conway-no-funding-wall-no-deal-can-made/?utm_source=facebook&utm_medium=social	Kellyanne Conway: â€˜If There Is No Funding for the Wall, No Deal Can be Madeâ€™	Sunday on Fox News Channelâ€™s â€œFox &amp; Friends,â€ White House counselor Kellyanne Conway said that President Donald Trump would not make a deal with Democrats on immigration that does not include funding for a wall on the U.S.-Mexico border.	2017-09-17	2017-09-17
